@relation MyRelation

@attribute twitid numeric
@attribute username string
@attribute tweetcontent string
@attribute createaccount numeric
@attribute followers numeric
@attribute followings numeric
@attribute userfavorite numeric
@attribute listed numeric
@attribute tweetcount numeric
@attribute retweetcount numeric
@attribute hashtagcount numeric
@attribute mentioncount numeric
@attribute urlcount numeric
@attribute charcount numeric
@attribute digitcount numeric
@attribute classify string

@data
1,'STAR PLUS','#Divek’s love story is indeed adorable. Find out how it all began for them on #NachBaliye8 this Sat-Sun at 8pm.… https://t.co/Zuuo89p1PB',2725,1817077,632,1549,538,79924,3,2,0,1,136,5,NonSpam
2,'Press Trust of India','Home Ministry gives approval for induction of 2 ministers in Delhi govt, forwards files to Prez #PranabMukherjee: Sources. @AamAadmiParty',2298,1456399,1,0,2684,48667,7,1,1,0,137,1,NonSpam
3,'Zee Music Company','RT @YouTubeIndia: This got us in the party mood and it\'s not even Friday yet ?? ? https://t.co/CAREHxLvlh #Jaanu @shrutihaasan @RajkummarRa…',1165,672976,419,2390,67,11741,2,1,2,1,142,0,Spam
4,'Shiv Aroor','Our Generals on TV saying 27 Pak prisoners should be hanged if #KulbhushanJadhav executed. Silly threat. Pak has no problem losing citizens.',2573,516325,317,154,973,59042,40,1,0,0,140,2,Spam
5,'Press Trust of India','No entry for visitors with laptops, tablets, iPads in American centres in Delhi, Mumbai, Kolkata; ban was already at Chennai @USAndIndia',2298,1456399,1,0,2684,48667,32,0,1,0,136,0,Spam
6,'Shekhar Gupta','It\'s a very good point. And a brave one, most journalists today will be scared of making, this side of the border o… https://t.co/GgH9EOEGul',1065,1447093,1097,8727,1166,9557,15,0,0,1,140,1,NonSpam
7,'Rahul Kanwal','RT @ravi4354: Appreciate @IndiaToday for sustained efforts in favor of #RewariGirls made @mlkhattar to buckle underPressure @rahulkanwal @s…',2798,3190253,2734,1735,2262,27520,5,1,4,0,140,4,Spam
8,'Press Trust of India','Milk will be exempted from #GST; foodgrains to be cheaper: Revenue Secretary.',2298,1456399,1,0,2684,48667,87,1,0,0,77,0,NonSpam
9,'Great Minds Quotes','\"Tact is the art of making a point without making an enemy.\" - Isaac Newton',3000,3242030,187557,10,24593,31991,121,0,0,0,75,0,Spam
10,'Shiv Aroor','\"Dr Swamy, can you praise AND punch in the same breath?\"\n\nSwamy: https://t.co/WWqSoO3D1X',2573,516325,317,154,973,59042,32,0,0,1,88,2,Spam
11,'Sarbananda Sonowal','RT @CMOfficeAssam: 1,76,335 rural houses have been completed in 2016-17, which is much higher compared to previous years\' accomplishments h…',1067,258405,101,308,197,3692,18,0,1,0,140,12,Spam
12,'Press Trust of India','Hair oil, soap, toothpaste to attract 18\% #GST; cereals will be exempted from tax as opposed to current 5\% rate.',2298,1456399,1,0,2684,48667,51,1,0,0,112,3,NonSpam
13,'Press Trust of India','#GSTrate on coal fixed at 5\% as against 11.69\% now; sugar, tea, coffee, edible oil to also attract 5\% tax: Revenue Secretary.',2298,1456399,1,0,2684,48667,48,1,0,0,125,6,Spam
14,'Press Trust of India','Hope to finalise list of exempted items tomorrow; will also discuss rate of tax on gold and bidi: FM.',2298,1456399,1,0,2684,48667,16,0,0,0,101,0,Spam
15,'Bollywood Hungama','Must Watch response of @SunielVShetty on @aamir_khan \'s #Dangal storm in #China https://t.co/dIsFgUcfD7',2919,1091800,584,877,1036,38454,22,2,2,0,103,1,Spam
16,'Press Trust of India','It\'s legally binding: MEA on what will happen if Pakistan does not implement the #ICJ order on #KulbhushanJadhav. @MEAIndia',2298,1456399,1,0,2684,48667,12,2,1,0,123,0,Spam
17,'INC India','The reality of @narendramodi\'s own Adarsh Gram: Roads broken, Limited power, Jobs lost. Watch #Bluff6 #Tikdam6 https://t.co/3jgwYm9zP3',1562,1898435,2302,707,988,39929,92,2,1,0,134,5,Spam
18,'Press Trust of India','#GSTCouncil to discuss tomorrow rates on services, may meet once more if tax for all items not decided by then: @arunjaitley.',2298,1456399,1,0,2684,48667,7,1,1,0,125,0,Spam
19,'Bollywood Hungama','#RameshSippy\'s SHOCKING Comment On #Sholay, believed to be a FLOP https://t.co/bt11PWXFwV',2919,1091800,584,877,1036,38454,5,2,0,0,89,2,Spam
20,'Shekhar Gupta','Salve is India\'s best-paid, & highest tax-paying lawyer. Unfortunately maligned in so-called Panama Leaks while he\'… https://t.co/RayiXzqHQ4',1065,1447093,1097,8727,1166,9557,30,0,0,1,140,1,Spam
21,'Press Trust of India','The #ICJ verdict on #KulbhushanJadhav a matter of great relief for the people of the country, says MEA. @MEAIndia',2298,1456399,1,0,2684,48667,6,2,1,0,113,0,Spam
22,'Press Trust of India','Out of 1,211 items, #GST rates on all barring 6 have been decided: FM.',2298,1456399,1,0,2684,48667,17,1,0,0,70,5,Spam
23,'Press Trust of India','#GSTCouncil okays 7 rules of GST; remaining 2 rules relating to transition and return being vetted by legal committee: @arunjaitley.',2298,1456399,1,0,2684,48667,17,1,1,0,132,2,Spam
24,'Press Trust of India','Unanimous, favourable, clear and unambiguous, says Ministry of External Affairs of #ICJ order on #KulbhushanJadhav. @MEAIndia',2298,1456399,1,0,2684,48667,12,2,1,0,125,0,Spam
25,'Press Trust of India','The provisional relief provided by #ICJ is the first step towards ensuring justice to #KulbhushanJadhav: MEA. @MEAIndia',2298,1456399,1,0,2684,48667,8,2,1,0,119,0,Spam
26,'Press Trust of India','Govt will do everything possible to save the life of #KulbhushanJadhav, says Ministry of External Affairs. @MEAIndia',2298,1456399,1,0,2684,48667,13,1,1,0,116,0,Spam
27,'ABP News','The provisional relief provided by #ICJ is the first step in ensuring justice to Jadhav: @MEAIndia',2929,6533580,133,0,3072,149154,6,1,1,0,98,0,Spam
28,'Tips Films & Music','“The Only Love Stories Worth Telling Are The Forbidden Ones” - #ICYMI, watch the #ShabTrailer now!! @ShabTheFilm… https://t.co/0B6L9brbng',1624,171304,190,2277,87,7789,2,2,1,1,137,3,NonSpam
29,'Bollywood Hungama','Veteran actress #ReemaLagooJi passes away https://t.co/lzuRwTEnoF',2919,1091800,584,877,1036,38454,12,1,0,0,65,0,Spam
