@relation MyTestRelation

@attribute spamclass {Spam,NonSpam}
@attribute tweetcontent String

@data
Spam,'19 killed and around 50 injured at @ManchesterArena blast in the UK: police.'
NonSpam,'A bomb has gone off at an @ArianaGrande concert in Manchester if you can\'t reach your kids.Try the Number below.… https://t.co/an0J9XVkeq'
Spam,'Several killed and many injured at @ManchesterArena blast in UK: Police.'
Spam,'My heart Is Breaking For Everyone At  @ArianaGrande Concert. So Many Young Kids Go To See Her, It\'s Not Right. Be Safe #ManchesterArena'
Spam,'RT @BlazersBellinis: Read about how Unleashed World is supporting female artisans in India, creating opportunities and bringing... https://…'
Spam,'Check out: @KajolAtUN shoots for a special music video with @dhanushkraja and @soundaryaarajni for #VIP2\nhttps://t.co/zIFTDqQYdN'
NonSpam,'RT @abhashukla_absh: @abhijeetsinger Sir, dont know y but happy to see u thrashing pseudo gang tweeting 3 am. So much dedication ! Love u a…'
Spam,'Abha! It\'s evening, I\'m in Europe 4 my concerts, I\'m too disturbed, wish India punish these liptards & looters..1st… https://t.co/2VG5JMB9Vy'
Spam,'RT @BettyBowers: Dear @FLOTUS: In this one moment, you are a preview of America.  https://t.co/TtzBGOnFlN'
Spam,'Exclnt idea ??\nLet these #Stonepeltors stone the Azadi gang to death .. \n?? ?? ???? \n??? ?? ???? ..… https://t.co/9lM1lj3A9E'
Spam,'WOW! Say HELLO to @shahidkapoor and #MiraRajputKapoor\nhttps://t.co/dEHvkQZVOh https://t.co/n9OJvJ5xhd'
Spam,'Supremely Talented..Shakira Shakira.. @shakira Here\'s Shak singing Nada in the studio goldspots. Premiered on her w… https://t.co/xwAHXYpp5s'
Spam,'No Shaq!!! https://t.co/4ZJCQlDWfM'
NonSpam,'RT @KanchanGupta: Let\'s turn the question around: Close your eyes, imagine a family member in uniform in that Army convoy. Now tell me how…'
Spam,'Armchair experts here have almost persuaded me that Major Gogoi was wrong. He should\'ve shot down 20-30 in self defence. #MajorGogoiHonoured'
Spam,'True. But in such situations, you don\'t get time to establish who\'s part of mob, who\'s not. I\'d be shattered if a m… https://t.co/omcFAA5FeS'
NonSpam,'20 kg heroin recovered from PIA PK-785 to U.K. PIA staffers were earlier detained in U.K. When drugs found last time https://t.co/HjcxQHpOJO'
Spam,'Do watch: https://t.co/TYcoOXNmLg'
Spam,'HOT! #SaifAliKhan’s daughter #SaraAliKhan heats up the summer in a bikini\nhttps://t.co/Dyuxv2f3FX https://t.co/iu7akbYhH3'
Spam,'RT @alok_pandey: This is what @KolkataPolice did to Ndtv cameraperson Nirmal Sarkar today . The man was only doing his job - which is to sh…'
Spam,'Pak media & netas go ballistic. Say Nawaz & Pak delegation not given due protocol.Pak ignored by both US & Saudi Arabia. Terroristan shunned'
Spam,'A must read piece: https://t.co/hDjKmQyCcI'
Spam,'Pak stumped in Saudi Arabia. Nawaz not allowed to speak. India mentioned as victim of terror.Palestine mentioned not K-bogey. Pak put on mat'
Spam,'Conflicts of interest & former judge heading DDCA. Fine Nihal Koshie scoop, never mind Lordship\'s contempt threat! https://t.co/z6nsBmQDyO'
Spam,'So, die to play by the rulebook? Or shoot 20-30 down, which they were entitled to in that situation? https://t.co/knfgygm8vS'
Spam,'RT @IndiaToday: Is Army doing the right thing by awarding Major Gogoi? Watch @aakar_amnesty, Lt Gen (R) Shankar Prasad debate on #NewsToday…'
NonSpam,'RT @CMMadhyaPradesh: To prevent illegal sand excavation from river Narmada for its conservation, Madhya Pradesh Minor Mineral Rules - 1996…'
Spam,'RT @CMMadhyaPradesh: The state is taking all possible steps to preserve rivers. Ban to be imposed on sand mining & illegal excavators to be…'
Spam,'REVEALED: Why @ParineetiChopra hated her parents during her childhood\nhttps://t.co/Li90LTTugv https://t.co/LVAwJCn9cK'
NonSpam,'RT @newschambers: When a headline is so perfect you have to close your laptop and just walk away applauding. https://t.co/3LLvvCd4rJ'
NonSpam,'RT @CMOfficeAssam: Cabinet passed a resolution thanking Hon\'ble PM Shri @narendramodi for deciding to address the nation from Assam on May…'
Spam,'RT @CMOfficeAssam: A Cabinet meeting chaired by Chief Minister Shri @sarbanandsonwal approved the recommendations of the 5th Assam State Fi…'
Spam,'Delhi Police registers a case against AAP leader #SanjaySingh\'s personal assistant & party supporter for allegedly molesting woman worker.'
Spam,'#Haryana Board releases incorrect merit list for class 10 exam, rectifies later; initial toppers lose ranks\nhttps://t.co/RhD8ww7HOM'
Spam,'There is. But it\'s beyond you son. https://t.co/35R8czLY5W'
Spam,'Yeah yeah we know https://t.co/MTxO2mZyCW'
Spam,'Hurriyat \'terrorist\' boasted about mass murder and Congress govt let him go free. Explosive Newsroom news-break https://t.co/z30WXfJzSS'
Spam,'RT @firstpost: #Airtel, #Vodafone and #Idea caused a potential loss of Rs 400 crore to the government: #RelianceJio\nhttps://t.co/vdKIcrxVSe'
Spam,'RT @shunalishroff: Shame! https://t.co/ZxWlLpRwo7'
NonSpam,'What do you do when bloodthirsty mob of a few 100s is closing in on 15-20 of you with stones, boulders? Use your AK… https://t.co/rCVxXETofh'
Spam,'Not tagged. Just tag. God alone knows. https://t.co/b6aSU5pKCu'
NonSpam,'Prayer: God save us from @realDonaldTrump ??? https://t.co/7RH0e2A29d'
Spam,'Awwwwe but means what??? https://t.co/00Rz2AGhA7'
Spam,'RT @RahulAcharya93: @suhelseth sir can u please help ??\n\n@_sachinbansal https://t.co/35c3K1WPQ7'
Spam,'Delhi CM @ArvindKejriwal to hold a series of meetings with farmers on #LandPoolingPolicy (LPP) that was recently notified by #AAP government'
Spam,'#EC asks authorities in 5 states to prepare themselves for sending #EVMs for open challenge to prove that machines can be tampered with.'
Spam,'Some 1 commented this is at Rajghat Bridge Varanasi'
Spam,'#MeteorologicalDepartment issues an alert for heavy rains in the hilly districts of #Uttarakhand over the next 24 hours.'
Spam,'#IndianMedicalAssociation (IMA) to hold #DilliChaloMovement on June 6 to draw nation\'s attention towards \"atrocities\" faced by doctors.'
NonSpam,'How excited are you to watch two of your favourite stars perform together at #StarParivaarAwards? This Sunday at 8p… https://t.co/CQUGKi5Heb'
NonSpam,'Watch: @DishPatani’s sexy dance moves on @jasonderulo’s #Swalla will make your Monday\nhttps://t.co/NUZlKHEe4a https://t.co/CU93ZsNwbG'
Spam,'A delegation of #DANICS (Delhi, Andaman Nicobar Islands Civil Service) officers meet Union Minister #JitendraSingh, demand timely promotions'
Spam,'Parties keen on taking #EVM challenge must confirm their interest for the same to EC by May 26: Punjab\'s Chief Electoral Officer #VKSingh.'
Spam,'At the earliest @PMOIndia @rajnathsingh @DrJitendraSingh should seek re-probe in Bitta Karate case. Mass murderer must pay for his crimes.'
Spam,'A Vinod Khanna song memory: Lagi aaj sawan Ki phir woh jhadi hai.. Suresh Wadkar my friend at his best! Gnight, shubhratri..'
Spam,'RT @drramansingh: #MODIfiedChhattisgarh to be 100\% electrified in next 2 years! #DhanyawadPMModi for lighting up lives across the state #3S…'
Spam,'India Launches Massive Push for Clean Power, Lighting, and Cars https://t.co/Ag4l6X1wsG via @NatGeo'
Spam,'#DonaldTrump becomes first sitting US president to pray at #WesternWall in the Old City of East Jerusalem.'
Spam,'India\'s @yukibhambri and @ramkumar1994 bow out of French Open Qualifiers following their first round defeats. #FrenchOpen'
Spam,'Major Leetul Gogoi who tied man to jeep in #Kashmir awarded\nhttps://t.co/F5d2jMyT9Y https://t.co/jPZp0pBGTJ'
Spam,'I strongly disagree with many of Arundhati Roy\'s views,but for an MP to use a public fora to incite violence against her, is insupportable.'
