@relation MyTestRelation

@attribute spamclass string
@attribute tweetcontent string

@data
Spam,'EXCLUSIVE Interview teaser : @GulshanGroverGG is FULL of Swag in this \n#TalkingFilms #BadmanKaHungama https://t.co/33Wabx80Jd'
Spam,'RT @AliyahUkaye: @VishalDadlani @ShekharRavjiani What a show u guys put on.Please come back to Leicester soon.The energy tonight was absolu…'
Spam,'On Ram/Krishna circuits, some say we\'re saffronising. See tourism in Vatican, Mecca, Jerusalem ~ @dr_maheshsharma… https://t.co/xwtiopFjtn'
Spam,'Babri Masjid demolition case: UP CM Yogi Adityanath meets BJP stalwart L K Advani in Lucknow ahead of proceedings… https://t.co/KvMZA3ftH9'
Spam,'SIM card on arrival in India took 2-3 hrs. Now preactivated card in mins ~ @dr_maheshsharma… https://t.co/5cH0RVcw5R'
Spam,'Relentless Ops by Army, JKP & CRPF. Terrorists hunted down & neutralised. #IndiaFirst 8.25 pm @IndiaToday. Big anti… https://t.co/9y0Yi9a4ex'
Spam,'When we took over in 2013, WEF ranked India 63. Today we\'ve jumped to 40 ~ @dr_maheshsharma… https://t.co/W837tO1c7m'
NonSpam,'RT @HindiMediumfilm: ???? ?? verdict is here! Don\'t miss out on #HindiMedium Watch it today! Book your tickets now- https://t.co/etZc91uqdK…'
Spam,'RT @ndtv: #WorldEnvironmentDay: Haryana to conduct waste management drive in rural areas https://t.co/VkCGmv0i8f\n\n#SwachhIndia https://t.co…'
NonSpam,'Remember this picture of 11 armed Hizbul Mujahideen terrorists from last year. 9 are dead. 1 surrendered & 1 is a m… https://t.co/hCccpPZX51'
Spam,'Confusion in ANI news room as two Panda stories broke almost simultaneously ? https://t.co/7xnbk5F9wo'
Spam,'True. The success of any social campaign depends upon active involvement of the people. https://t.co/DKTwj03mp1'
Spam,'UP CM #YogiAdityanath meets BJP stalwart #LKAdvani in Lucknow ahead of proceedings in #BabriMasjid demolition case.'
Spam,'Power-packed line-up of Union & state ministers for #MailTodayTourismConclave include @dr_maheshsharma, @Ashok_Gajapathi & @PriyankKharge'
Spam,'About 32 #Hindu inmates lodged in jail in #Muzaffarnagar observe roza during #Ramzan along with 1,174 #Muslim prisoners.'
Spam,'News : As per Mirror .. @IChitrangda to play #SaifAliKhan\'s wife in @nikkhiladvani\'s #Baazaar @EmmayEntertain… https://t.co/9n7NxDk8aE'
Spam,'Focus on women-led development. #EmpoweredNari https://t.co/um8jr2Lf9H'
Spam,'Check out @BeingSalmanKhan as #Hanuman in making of #hanumandadamdaar https://t.co/4JYlKOsv7k https://t.co/e6RaN9WHr2'
Spam,'So Baywatch screening In mumbai was kind of \'BAbY\' let\'s \'WATCH\' together kind of Affair .. Last Night ! #BAYWATCHMOVIE #RjAlok'
Spam,'Hindi medium collects Rs 39.55 cr in 11 days;Rs 2.20 cr on 11th day. SUPER HIT  ?? ? @TSeries @MaddockFilms  @irrfank @sharadakarki  #RjAlok'
NonSpam,'Good Morning everyone. Have a great day. #AsliMazaaSABKeSaathAataHai.'
Spam,'Greetings to the people of Goa on Goa Statehood Day. I pray for Goa\'s progress and prosperity in the years to come.'
Spam,'Birthday greetings to the Chief Minister of Puducherry, Shri V. Narayanasamy. I pray for his long and healthy life.'
Spam,'#SC lists plea of IPS officer #RSBhagora for second week of July.'
Spam,'#SC says there is no urgency in the matter as the convicted officer has already undergone the sentence.'
Spam,'#SC refuses to grant stay on the conviction of IPS officer #RSBhagora in the #BilkisBanocase.'
Spam,'I\'m not a criminal: Uma Bharti ahead of Babri hearing\nhttps://t.co/vbsZZXJ8hc https://t.co/Rp2e55kQLy'
Spam,'Pump up the volume and play this #OnLoop https://t.co/VqzPcYH1uL\n\n@DharmaMovies https://t.co/sySuaOjF3J'
Spam,'#Delhigovt will act against officers responsible for \"non- payment\" of bills to suppliers of medicines in its hospitals: CM @ArvindKejriwal.'
Spam,'Enjoy the passionate and energetic song #JiyoReBaahubali https://t.co/kgUtOYgkt6 @PrabhasRaju https://t.co/KuHkkuIc84'
Spam,'RT @timesofindia: Monsoon rains arrive at southern Kerala coast https://t.co/gpYIhf1wTq via @TOICitiesNews https://t.co/M1QRJIvwCD'
NonSpam,'It is difficult to love someone if you don\'t honour them. Do you agree? #LoveKaHaiIntezaar \n@keithsequeira https://t.co/sRVsdkLc7L'
Spam,'6 #BorderSecurityForce personnel injured during mortar firing practice near #Jaisalmer in Rajasthan along the Indo-Pak border.'
Spam,'Moving towards energy saving modes,Mumbai Div achieves huge savings on energy consumption in last 2 yrs… https://t.co/YBUGwzIDiB'
Spam,'A group of #Naxals?torch?a bus?after asking passengers to alight?in Chhattisgarh\'s #Narayanpur district: police.'
NonSpam,'\"If you\'re a good actor you shouldn\'t have limitations\" : @shrutihaasan \n#TalkingFilms https://t.co/nq7GlF7pUh'
NonSpam,'30-year-old #IAS officer drowns while rescuing a lady colleague from drowning in swimming pool of Foreign Service Institute in #BerSarai.'
NonSpam,'RT @IndiaToday: Kashmir \'human shield\' row: Opposing views from Congress stalwarts \nhttps://t.co/NounxnP7mg\n#ITVideo https://t.co/HQY10HSOBc'
Spam,'RT @IndiaToday: Kodanad estate row: Jayalalithaa stole my estate, says Ex owner Peter E Jones in an exclusive interview to India Today. #IT…'
Spam,'EXCLUSIVE Interview - @Tweet2Rhea on @iamsrk,@deepikapadukone,@priyankachopra & @iHrithik \n#TalkingFilms https://t.co/EryVEBtXCx'
Spam,'.@aamir_khan \'s #Dangal\'s total gross at the #China #boxoffice stands at USD 145.61 million [Rs. 941.55 cr]\nhttps://t.co/i2ggoJXZl4'
Spam,'.@aamir_khan \'s #Dangal all set to cross Rs. 1000 crores at the #China #boxoffice\nhttps://t.co/i2ggoJXZl4'
Spam,'.@aamir_khan \'s #Dangal collects Rs. 52 crores on Day 25 at the #China #boxoffice\nhttps://t.co/i2ggoJXZl4'
Spam,'Lucknow: UP CM @myogiadityanath meets LK Advani at VVIP guest house \nhttps://t.co/VmJAKnzccy https://t.co/uQOcxkFuMc'
Spam,'\"@BeingSalmanKhan PROTECTS the needy and weak\" : @mkoirala \n#TalkingFilms https://t.co/NihDEQmEZj'
Spam,'#SabzarBhat killing: Curfew-like restrictions continue in parts of #Kashmir for the third day.'
Spam,'RT @Y_films: When the only thing that could keep @Riteishd\'s Tashreef calm was Bum Balm?Last night #BankChor ki #LagGayiTashreef https://t.…'
Spam,'#SouthwestMonsoon hits Kerala and North East.'
Spam,'The Monsoon has hit Kerala. MET department announcement soon. The Lord be praised.'
Spam,'RT @sureshpprabhu: #3YearsofModiGovernment has ushered India into a new paradigm of women empowerment #EmpoweredNari https://t.co/xQYSSqI2Nz'
Spam,'\"@aamir_khan is a BRILLIANT actor\" : @mkoirala \n#TalkingFilms https://t.co/orLBeTjEb4'
Spam,'The story that troubles me today: https://t.co/JXyGLcFuef'
NonSpam,'Happy statehood day fellow Goenkars! Happy to be part of a state where the soul finds tranquility, where being Goan is the only religion!'
Spam,'\"@iamsrk is very PROTECTIVE\" : @mkoirala \n#TalkingFilms https://t.co/YV6OnXs2Cq'
Spam,'Empowering disadvantaged women and ensuring social mobility. #EmpoweredNari https://t.co/0xo9J204Ar'
Spam,'RT @atulkasbekar: Quality reading material sorted.\nThank u @ShivAroor for this.\nLooking fwd to reading ??? https://t.co/4LoPuKXxV9'
Spam,'#Babri demolition case Live: Senior BJP leader LK Advani leaves for #Lucknow, will meet CM @myogiadityanath \nhttps://t.co/VmJAKnzccy'
Spam,'Acid attack survivors will now get benefits under Disability Act, 14 new categ added | @journo_priyanka @mail_today https://t.co/cLAO6c9Vkf'
Spam,'Focus not only on medals but creation of sports culture: Union sports minister @VijayGoelBJP… https://t.co/BY57jHdcE9'
Spam,'Mumbai! \n\nBring all your single friends and lets laugh at couples tomorrow! \n\nClick on the link… https://t.co/FTkqFisRUq'
Spam,'ABP 5 min bulletin: Get top news and updates within 5 minutes  \n\nVIDEO: https://t.co/pV3tD90VSn'
Spam,'Sabzar was a coward in death. Kept hiding, asking aides for human shield of stone-pelters | @ajitkdubey @mail_today… https://t.co/OHBCXNTiht'
Spam,'Pretty sure that when Ranveer and Deepika actually want to take a selfie they just use an iPhone.'
Spam,'Very soon. God willing. And hopefully more :)) https://t.co/VTkryRWtan'
Spam,'The problem with students scoring 95\% in their exams is that there is a kid out there who has scored 89\% but yet feeling miserable about it'
Spam,'ABP TOP 10: WATCH ten major news of the day\n  \nVIDEO: https://t.co/VDhvsc20Id'
Spam,'Focus on expanding infra ; Elavated Decks,ROBs, Booking Offices, New Lines,Extending PFs etc #RailVikasKe3Saal… https://t.co/KmgjoNpCpE'
Spam,'Delighted to receive a signed copy of my buddy @ShivAroor \'s #OperationJinnah. Two books in two days, feeling bless… https://t.co/c1ZTxqQMoY'
Spam,'Stylish & Simply Stunning! ?\n#ErosNow #PriyankaChopra #BollywoodMornings https://t.co/XcdhV4V0Ec'
Spam,'A piece by my friend @quizderek : https://t.co/PYhkezKLfQ'
Spam,'Grilling of Separatists to continue at NIA on boast of taking money from Pak to burn schools in Kashmir & fuel unre… https://t.co/TnLrdnYvzC'
Spam,'Where is our outrage factor on social media when another \'faceless\' Indian is killed? https://t.co/IxlIswavQM'
Spam,'PM @narendramodi,#AngelaMerkel also discuss #Brexit consequences, trade & radicalisation in context of recent terror attacks in #Europe.'
NonSpam,'Excellent. Hope your campaign against cow slaughter as political tool will be as vocal & sustained as ones over jal… https://t.co/wwCBm0I1kV'
Spam,'After reducing woman IPS officer to tears, UP BJP MLA Radha Mohan does it again!\nhttps://t.co/cPorJ1t3P4 https://t.co/V7wv4ISdZ5'
Spam,'PM @narendramodi, German Chancellor #AngelaMerkel have held \"very good\" discussions on a range of bilateral, regional & global issues.'
Spam,'I had scored 93.28\% in my board exams in 1985 which in today\'s term will be 789\% keeping into mind inflation'
Spam,'UP\'s woman minister inaugurates beer bar: #YogiAdityanath seeks explanation\nhttps://t.co/NpZQzHqQsP https://t.co/1QoC08sZcx'
NonSpam,'Many many happy returns of the day to @SirPareshRawal'
Spam,'#Babri demolition case: CBI court to frame charges against LK Advani, Joshi, Uma today\nhttps://t.co/bNUyLdhIOC https://t.co/UzK2tQipo5'
Spam,'Several Bihar airports are available for bidding in UDAN. Airlines bid for routes on basis of demand. New terminal… https://t.co/4G7d0e0W1C'
Spam,'RT @IDFIndianDef: Post ur questions to @ShivAroor n WIN a signed copy of his book.?He will b on IDF btwn 12-1pm,3rd June 2017 here>>> https…'
Spam,'RT @livefist: One week since crash, still no official word on IAF Su-30 pilots Divesh & Achudev. https://t.co/pgDNvBBOmA'
Spam,'News Today: debating the new cattle slaughter rules and meeting the CBSE toppers: https://t.co/i4EPHjRvAG'
Spam,'The Dravyavati River Rejuvenation project is close to the hearts of all residents of #Jaipur - we shall together br… https://t.co/vDAl6tY2b8'
NonSpam,'Suprabhatam! Don\'t let anyone steal your dreams! Have a good day friends!!'
Spam,'Hizbul Terror Commander Sabzar Ahmad A Coward In Death, Sent Text Messages Summoning Stone-Pelters: Indian Army.… https://t.co/3lm8MeN8sE'
Spam,'Commuter welcomes Water Vending Machines fr clean,hygienic drinkng water at affordable price #RailVikasKe3Saal… https://t.co/cKLXgjRguD'
Spam,'RT @RailMinIndia: How  Railway Minister @sureshpprabhu plans to revamp the Railways?\nhttps://t.co/aLvjzYl3hY'
Spam,'RT @RailMinIndia: Extended trial runs for Train Collision Avoidance System.\nhttps://t.co/vgtj5M2pnM'
Spam,'Solar Panels,Solar Water Heating System,Head on Generation,Effluent Treatmnt Plant # guarding  environment… https://t.co/N5zwAQJn41'
Spam,'Check out: #AaradhyaBachchan joins her grandpa @SrBachchan to greet fans\nhttps://t.co/jlHiQT7fvr https://t.co/vDgx9GuUwN'
Spam,'#CycloneMora hits Bangladesh coast: weather office.'
NonSpam,'PM @narendramodi says he had a \"very good interaction\" with German Chancellor #AngelaMerkel during an informal meet.'
Spam,'#Maharashtra: #Cow vigilantes thrash 3 men suspected of possessing beef;  7 arrested\nhttps://t.co/biFf9nr5Uu https://t.co/Yh6ENBZ9MZ'
Spam,'Mum here is Mumbai. Took me a couple of seconds https://t.co/RplisF8jNs'
Spam,'Thanks @Richtopia! https://t.co/1Gm4IxoZVh'
Spam,'OMG! @RajkummarRao accidentally kissed this veteran actress while performing a CPR scene in #BehenHogiTeri… https://t.co/0eAVvGADEb'
Spam,'Shameful. I know of legendary journalists who\'ve refused to accept even the smallest token. Compare that with this… https://t.co/PD6oCD3m0c'
Spam,'RT @krupasamani1: @VishalDadlani @ShekharRavjiani Thank u both! Best concert I\'ve been to in a long time! U guys set the stage on fire??#Vi…'
Spam,'RT @krupasamani1: @VishalDadlani bit blurry but that\'s because we couldn\'t stop dancing! Epic concert guys! It\'s got super hot ???? @Shekha…'
NonSpam,'RT @Nilks77: Great performance by @VishalDadlani and @ShekharRavjiani tonight in Leicester your guys were amazing! ? https://t.co/b7UVROt4CG'
Spam,'RT @kamz26: Getting geared up to watch @VishalDadlani live on stage in Leicester! Eeeekkk!!!! ? https://t.co/8cEnQW5geC'
NonSpam,'RT @ELLO_Dipali: Coming straight from a Bollywood party with @VishalDadlani & @ShekharRavjiani !! #VishalAndShekharLIVE #DMH https://t.co/d…'
Spam,'RT @rupasoni: With @VishalDadlani absolutely rock it ... Best concert ever!!! Thank you https://t.co/bVht0thgwr'
Spam,'RT @kamz26: What an amazing evening! Thank you @VishalDadlani & @ShekharRavjiani \nMade some lovely memories with my sisters thanks to you.…'
Spam,'RT @FILM9: @VishalDadlani, @ShekharRavjiani smashed it guys... best concert been to in a long time... thank you for the experience ???? htt…'
Spam,'RT @diya__t: @ShekharRavjiani @VishalDadlani were amazing to hear live tonight, thank u to my favourite artists for singing my all time fav…'
Spam,'RT @rnegi71: @VishalDadlani .absolutely electifying performances..what a show..!!! hope to see you sometimes soon back in uk..??????'
Spam,'WOW! #KatrinaKaif looks magical in this shoot by #VikramBawa\nhttps://t.co/SpuBUD6Xw0 https://t.co/Nd3m9JrDJF'
Spam,'RT @pardip1: @VishalDadlani @ShekharRavjiani absolutely rocking Leicester. You guys are smashing it. Best concert ever!!!'
Spam,'RT @ShaynahG: @VishalDadlani @ShekharRavjiani you guys rocked in Leicester today c https://t.co/zyiuqmiClt'
Spam,'“It is important that investors make money, so films like #Manto are not tagged as Festival films” – @nanditadas \nhttps://t.co/qzGyGlzUdO'
Spam,'An amazing evening with the one and only @chintskap https://t.co/8BjemG2lGo'
Spam,'RT @ncsad72: Indian Army organises inter school quiz competition at Army Goodwill School Potha, Poonch(J&K).\n@adgpi\n@suhelseth\n@Ra_THORe\n@m…'
Spam,'RT @ncsad72: Indian Army organises inter school quiz competition at Army Goodwill School Potha, Poonch(J&K).\n@adgpi\n@suhelseth... https://t…'
Spam,'Three South African women rape a man for three days after kidnapping him in a taxi https://t.co/kZTfKSe3CS'
NonSpam,'PM @narendramodi says he had a \"very good interaction\" with German Chancellor #AngelaMerkel during an informal meet.'
Spam,'The #Ramadan body count has started. Time when jihad steps on the gas across the world https://t.co/EZ83MUUEFH'
NonSpam,'Shankar isn\'t from a film family. Me neither. Nor Shekhar, Sonu, KK, Sunidhi, Shreya, Arijit, Neeti,MANY more! We\'v… https://t.co/1xQj6h3d1B'
Spam,'Shivam matching his brilliant Dad, both academically and as a vocalist/musician! What an incredible family! https://t.co/A2nhxGtsvH'
Spam,'The culprits must be caught & sentenced to death! The victim was killed for trying to help us become @swachhbharat!  https://t.co/Tg1FoEheOw'
Spam,'OMG: @irrfank does a Jai-Veeru throwback, makes a filmy debut on @Instagram\nhttps://t.co/WudXU58AJB https://t.co/pgY51BPrYz'
Spam,'@sujoy_g , please read the responses to my tweet above! Spectacular! ?'
Spam,'Man. \nCan American Gods get any better? The episodes keep getting crazier and crazier.'
Spam,'Wonderful to see the Delhi Govt. initiative appreciated by the Central Govt. Co-operation is always better than con… https://t.co/FL9BaDcnrY'
Spam,'If you bring @StephenMerchant and @KarlPilkington with you, that could just work. https://t.co/FRcAN5QZHl'
Spam,'RT @neeleshmisra: This is just amazing. A case study should be shared with @HRDMinistry and should be replicated elsewhere. Congratulations…'
Spam,'.@ShekharRavjiani killing his solo spot on stage in Leicester right now. What a remarkable singer/musician he is! And the crowd! Phenomenal!'
Spam,'RT @deespeak: We are strengthened by every single person who understands this. Thank you @VishalDadlani #ForeverWild #IAmNature https://t.c…'
Spam,'It\'s Raining ? Mumbai... Wohhoooooooooo.. #MumbaiRains Midnight.. #RjAlok https://t.co/hNgSbfTdff'
Spam,'Cattle are integral to farm economics. Post-milking sale for meat/skin/bones is a part of this. Ban will make dairy unviable, punish farmers'
Spam,'RT @shafaquealamTOI: Always wear helmet while riding a bike. Watch and retweet. @khan007khalid @PushpinderNBT @noidapolice https://t.co/D8J…'
Spam,'\"This is proxy war & proxy war is dirty. Played in a dirty way. Rules of engagement apply when enemy fights face to face\"\n~ Gen Bipin Rawat'
NonSpam,'Wishing Happy Birthday ACTOR Paresh Rawal !! @SirPareshRawal !!!! #RjAlok https://t.co/XxBrl1bdoS'
Spam,'Our country is already crawling with stray cows scavenging on garbage. With new cattle sale curbs, buffaloes will join them on our streets'
NonSpam,'Had a very good interaction with Chancellor Merkel. https://t.co/5SQb5l205M'
Spam,'Check out: #KatrinaKaif’s new gym partners have a @BeingSalmanKhan connection\nhttps://t.co/QoMRBjYo6B https://t.co/5l7pNuI61D'
Spam,'India must step up pressure on Pak & proxies. No sporting, cultural or business ties as long as Pak state plots to… https://t.co/00uCGG4HGd'
Spam,'RT @RadioMirchi: Walking into some serious amount of fun at the Mirchi studio! @BeingSalmanKhan @TubelightKiEid #Radio #Tubelight https://t…'
Spam,'RT @RadioMirchi: Even @beingsalmankhan couldn\'t resist shaking a leg with us to the Radio song, Radio Mirchi style! #Tubelight #Radio https…'
Spam,'RT @RadioMirchi: Getting his groove on with Team Mirchi! @BeingSalmanKhan @TubelightKiEid @SKFilmsOfficial @sonymusicindia #Tubelight #Radi…'
Spam,'RT @RadioMirchi: When the superstar walks in, it\'s bound to be a fancy, star studded, fun event! Here\'s @BeingSalmanKhan taking the Mirchi…'
NonSpam,'Army called in only when all else failed. Ex home min shud know. It is Pak proxy war. Law abiding citizens don\'t fe… https://t.co/PInh2evOtD'
NonSpam,'Good! There should be no cricket with Pakistan till it cracks down on all terror. World should boycott Pak, a state… https://t.co/ePgYQC7L4x'
Spam,'Cow slaughter laws creates a license permit raj in cattle trade and is an assault on farmer\'s right to property and livelihood.'
Spam,'RT @Popsymusic: Nice to meet and chat music with the one and only @VishalDadlani before his sell out show in Leicester U.K. tonight. Have a…'
Spam,'RT @IndiaToday: Funding terror means supplying oxygen to terrorism: Kuldeep Khoda, Former DGP, J&K\n#IndiaFirst with @gauravcsawant https://…'
Spam,'List of terror cases where Yasin Malik is among those accused of murder & kidnapping. on #IndiaFirst @IndiaToday. L… https://t.co/KXbIBSYBOQ'
Spam,'RT @Amr1ta: As they get set for #VishalAndShekharLIVE in Leicester, fab pics emerge from the London concert! ? #PardesiPhoto https://t.co/E…'
Spam,'Almost time! See you in a bit, #Leicester ! #VishalAndShekharLive https://t.co/SQaZaAlPKK'
Spam,'Chancellor Merkel and PM @narendramodi meet at Schloss Meseberg during the PM\'s Germany visit. https://t.co/u8XP81hCE1'
Spam,'When @BeingSalmanKhan Hmm in his own style \'Main Hoon Hanuman Tera\' .. #hanumandadamdaar @hanuman_damdaar ???????… https://t.co/BitM688HpS'
Spam,'It\'s Amazingggggg Film Priya !! Don\'t miss Punches !! Keep phone aside https://t.co/8cJLa2lGMQ'
NonSpam,'RT @IndiaToday: There were constant harassment calls from influential people & had even sent 150 goondas: Peter Jones, Kodanad Estate\'s ori…'
Spam,'We all are working together as #TeamAssam towards that direction. https://t.co/dSHLNkrxPI'
Spam,'The 2016 National Civil Aviation Policy incorporates all that information https://t.co/eQlDskXucN'
Spam,'Annual Report Card provides full info on Central and State initiatives plus all details on MPLADS. All documents will be on social media 2/2'
Spam,'Blog by @rasheedkidwai : Opposition candidate: Sharad Pawar, Sharad Yadav or Gopal Gandhi? \nhttps://t.co/3vXwaiCQHv https://t.co/0TgYRn2YDN'
Spam,'My Annual Report Card for Hazaribagh constituency will be released in Hazaribagh and Ramgarh town on June 1. 1/2'
Spam,'Ministry of Civil Aviation will be releasing its 3 Year Report Card tomorrow. Will be releasing highlights through social media also.'
NonSpam,'RT @madversity: Licence Permit Raj has shifted in India from industry to animal husbandry @sardesairajdeep'
Spam,'Many improvements: roads, electricity, water supply, medical college, ring road, TownHall, etc. All listed on my FB… https://t.co/E2f6HoHS6m'
Spam,'Blog by @SandipGhose: Protect honest bureaucrats without blanket immunity\nhttps://t.co/EzNl3cEIgG https://t.co/ymgBzogzxO'
Spam,'Cyclonic storm #Mora likely to trigger heavy rainfall in Odisha tomorrow; state govt alerts 4 dist- Mayurbhanj, Balasore, Bhadrak, Jajpur'
Spam,'RT @IndiaToday: Here are the top 10 headlines at 10 PM.\n#NEWSROOM #ITVideo https://t.co/JHLp6k1HA8'
Spam,'RT @IndiaToday: #NEWSROOM\nTN Minister helped Kodanad estate grab? India Today probe reveals minister- tycoon nexus. \nLive https://t.co/4fqx…'
Spam,'My Facebook live chat with the CBSE toppers! Great fun! Do see and share.. https://t.co/LaP7BRxpHS'
Spam,'You can send an escalation email to AirSewa@gov.in https://t.co/JzjhbfFXKR'
Spam,'You can file an escalation email on AirSewa@gov.in https://t.co/f3rNDmEeVt'
NonSpam,'So how many Indians are veg and how many non veg? Here is a good study we did in 2006: https://t.co/YWAlQfuotL'
Spam,'50 Cent and his reflection. https://t.co/gNo6d9PWrg'
NonSpam,'Wind 3.2 mph NNE. Barometer 30.20 in, Rising slowly. Temperature 49.3 °F. Rain today 0.00 in. Humidity 32\%'
Spam,'Pausa pro café antes de embarcar no próximo vôo. #trippolisontheroad #danipolisviaja \n\nPause for… https://t.co/PhcJ4oYktP'
Spam,'Good. Morning. #morning #Saturday #diner #VT #breakfast #nucorpsofcadetsring #ring #college… https://t.co/dBZ7dbwX6f'
Spam,'@gratefuldead recordstoredayus ?????? @ TOMS MUSIC TRADE https://t.co/CURRmn6iJo'
Spam,'Egg in a muffin!!! (@ Rocket Baby Bakery - @rocketbabybaker in Wauwatosa, WI) https://t.co/mwfhrcxtRp'
